policy,latency_ms,P_gt
SafeTail-2.0 (het),33.085416,0.7480812334442708
SafeTail-2.0 (het),33.139786,0.7456360796033417
SafeTail-2.0 (het),33.227001,0.7431909257624125
SafeTail-2.0 (het),33.279849,0.7407457719214834
SafeTail-2.0 (het),33.342513,0.7383006180805542
SafeTail-2.0 (het),33.389786,0.7358554642396251
SafeTail-2.0 (het),33.435393,0.733410310398696
SafeTail-2.0 (het),33.479849,0.7309651565577668
SafeTail-2.0 (het),33.525915,0.7285200027168376
SafeTail-2.0 (het),33.592513,0.7260748488759085
SafeTail-2.0 (het),33.642513,0.7236296950349792
SafeTail-2.0 (het),33.714344,0.7211845411940501
SafeTail-2.0 (het),33.775915,0.7187393873531209
SafeTail-2.0 (het),33.835393,0.7162942335121918
SafeTail-2.0 (het),33.889786,0.7138490796712627
SafeTail-2.0 (het),33.939786,0.7114039258303335
SafeTail-2.0 (het),33.988325,0.7089587719894044
SafeTail-2.0 (het),34.035393,0.7065136181484752
SafeTail-2.0 (het),34.085393,0.704068464307546
SafeTail-2.0 (het),34.132709,0.7016233104666169
SafeTail-2.0 (het),34.189786,0.6991781566256877
SafeTail-2.0 (het),34.275915,0.6967330027847585
SafeTail-2.0 (het),34.314344,0.6942878489438293
SafeTail-2.0 (het),34.375915,0.6918426951029002
SafeTail-2.0 (het),34.425915,0.6893975412619711
SafeTail-2.0 (het),34.462551,0.6869523874210419
SafeTail-2.0 (het),34.529849,0.6845072335801128
SafeTail-2.0 (het),34.579849,0.6820620797391836
SafeTail-2.0 (het),34.664344,0.6796169258982545
SafeTail-2.0 (het),34.725915,0.6771717720573253
SafeTail-2.0 (het),34.785393,0.6747266182163961
SafeTail-2.0 (het),34.839786,0.6722814643754669
SafeTail-2.0 (het),34.892513,0.6698363105345377
SafeTail-2.0 (het),34.942513,0.6673911566936086
SafeTail-2.0 (het),34.989786,0.6649460028526795
SafeTail-2.0 (het),35.041615,0.6625008490117503
SafeTail-2.0 (het),35.114344,0.6600556951708212
SafeTail-2.0 (het),35.179849,0.657610541329892
SafeTail-2.0 (het),35.235393,0.6551653874889629
SafeTail-2.0 (het),35.289786,0.6527202336480337
SafeTail-2.0 (het),35.375915,0.6502750798071045
SafeTail-2.0 (het),35.394936,0.6478299259661754
SafeTail-2.0 (het),35.485393,0.6453847721252461
SafeTail-2.0 (het),35.535273,0.642939618284317
SafeTail-2.0 (het),35.601712,0.6404944644433879
SafeTail-2.0 (het),35.679849,0.6380493106024587
SafeTail-2.0 (het),35.729849,0.6356041567615296
SafeTail-2.0 (het),35.791615,0.6331590029206005
SafeTail-2.0 (het),35.842513,0.6307138490796713
SafeTail-2.0 (het),35.914344,0.6282686952387422
SafeTail-2.0 (het),35.971367,0.6258235413978129
SafeTail-2.0 (het),36.032709,0.6233783875568838
SafeTail-2.0 (het),36.089786,0.6209332337159545
SafeTail-2.0 (het),36.185273,0.6184880798750254
SafeTail-2.0 (het),36.263565,0.6160429260340963
SafeTail-2.0 (het),36.327001,0.6135977721931671
SafeTail-2.0 (het),36.385393,0.611152618352238
SafeTail-2.0 (het),36.443417,0.6087074645113089
SafeTail-2.0 (het),36.527001,0.6062623106703797
SafeTail-2.0 (het),36.564344,0.6038171568294506
