episode,step,reward
0,1,0.486746
0,2,0.520515
0,3,0.468327
0,4,0.432883
0,5,0.442959
0,6,0.461953
0,7,0.436363
0,8,0.500223
0,9,0.440403
0,10,0.460768
0,11,0.444133
0,12,0.431451
0,13,0.000000
0,14,0.463140
0,15,0.463061
1,1,0.443065
1,2,0.547988
1,3,0.458896
1,4,0.511888
1,5,0.493637
1,6,0.450915
1,7,0.411744
1,8,0.451512
1,9,0.433267
1,10,0.213177
1,11,0.465080
1,12,0.464132
1,13,0.495717
1,14,0.480839
1,15,0.488520
2,1,0.476813
2,2,0.459911
2,3,0.311439
2,4,0.474737
2,5,0.501867
2,6,0.479946
2,7,0.492877
2,8,0.521259
2,9,0.474060
2,10,0.441839
2,11,0.484951
2,12,0.502221
2,13,0.574110
2,14,0.504428
2,15,0.514490
3,1,0.451725
3,2,0.452242
3,3,0.429708
3,4,0.453644
3,5,0.451356
3,6,0.451358
3,7,0.479061
3,8,0.506369
3,9,0.495918
3,10,0.542111
3,11,0.529111
3,12,0.522168
3,13,0.453442
3,14,0.501115
3,15,0.458447
4,1,0.478209
4,2,0.450716
4,3,0.470634
4,4,0.457899
4,5,0.448261
4,6,0.465311
4,7,0.448688
4,8,0.477609
4,9,0.450010
4,10,0.459121
4,11,0.461217
4,12,0.457431
4,13,0.451013
4,14,0.510940
4,15,0.498078
5,1,0.510849
5,2,0.557856
5,3,0.458120
5,4,0.449870
5,5,0.439653
5,6,0.454737
5,7,0.434848
5,8,0.470207
5,9,0.448763
5,10,0.495768
5,11,0.452320
5,12,0.533129
5,13,0.504218
5,14,0.527957
5,15,0.527647
6,1,0.512269
6,2,0.558729
6,3,0.515192
6,4,0.493297
6,5,0.525704
6,6,0.495332
6,7,0.521497
6,8,0.528805
6,9,0.456012
6,10,0.512251
6,11,0.455582
6,12,0.446292
6,13,0.497632
6,14,0.431136
6,15,0.534661
7,1,0.479519
7,2,0.453099
7,3,0.498768
7,4,0.437396
7,5,0.502017
7,6,0.453013
7,7,0.413629
7,8,0.438821
7,9,0.490809
7,10,0.455133
7,11,0.459303
7,12,0.471880
7,13,0.426527
7,14,0.481361
7,15,0.522955
8,1,0.488678
8,2,0.504352
8,3,0.523418
8,4,0.438115
8,5,0.442108
8,6,0.475094
8,7,0.468795
8,8,0.466600
8,9,0.457318
8,10,0.497013
8,11,0.507665
8,12,0.506391
8,13,0.513210
8,14,0.551831
8,15,0.459912
9,1,0.489181
9,2,0.484219
9,3,0.486922
9,4,0.510590
9,5,0.490794
9,6,0.464130
9,7,0.493959
9,8,0.450456
9,9,0.465884
9,10,0.547988
9,11,0.496160
9,12,0.455003
9,13,0.481634
9,14,0.494415
9,15,0.483740
10,1,0.469548
10,2,0.425335
10,3,0.479149
10,4,0.520739
10,5,0.493226
10,6,0.574110
10,7,0.582880
10,8,0.516074
10,9,0.520331
10,10,0.457075
10,11,0.319981
10,12,0.514448
10,13,0.516059
10,14,0.479749
10,15,0.473809
11,1,0.492297
11,2,0.532282
11,3,0.544341
11,4,0.482278
11,5,0.475436
11,6,0.505068
11,7,0.469661
11,8,0.450088
11,9,0.479785
11,10,0.498171
11,11,0.441473
11,12,0.493576
11,13,0.524392
11,14,0.521798
11,15,0.465001
12,1,0.515290
12,2,0.537086
12,3,0.504531
12,4,0.526962
12,5,0.542410
12,6,0.532411
12,7,0.478884
12,8,0.457497
12,9,0.475245
12,10,0.463673
12,11,0.480462
12,12,0.492733
12,13,0.487215
12,14,0.465541
12,15,0.434589
13,1,0.531294
13,2,0.380913
13,3,0.514624
13,4,0.498995
13,5,0.535004
13,6,0.521538
13,7,0.457732
13,8,0.561276
13,9,0.426354
13,10,0.483348
13,11,0.439945
13,12,0.443143
13,13,0.446340
13,14,0.459325
13,15,0.423864
14,1,0.489005
14,2,0.453502
14,3,0.503490
14,4,0.535770
14,5,0.533703
14,6,0.532301
14,7,0.462344
14,8,0.451419
14,9,0.471705
14,10,0.495181
14,11,0.405085
14,12,0.497911
14,13,0.458583
14,14,0.502706
14,15,0.478464
15,1,0.467425
15,2,0.476958
15,3,0.519325
15,4,0.467123
15,5,0.489180
15,6,0.481797
15,7,0.480132
