episode,step,reward
20,11,0.443143
20,12,0.474060
20,13,0.477192
20,14,0.467863
20,15,0.476818
21,1,0.473956
21,2,0.495545
21,3,0.536499
21,4,0.557795
21,5,0.576824
21,6,0.526976
21,7,0.535827
21,8,0.504123
21,9,0.520132
21,10,0.538866
21,11,0.496178
21,12,0.477431
21,13,0.444074
21,14,0.472802
21,15,0.436618
22,1,0.512167
22,2,0.474413
22,3,0.470570
22,4,0.438614
22,5,0.455819
22,6,0.464246
22,7,0.547988
22,8,0.521767
22,9,0.466294
22,10,0.450904
22,11,0.463162
22,12,0.477909
22,13,0.421140
22,14,0.441774
22,15,0.455395
23,1,0.481201
23,2,0.468596
23,3,0.494953
23,4,0.464246
23,5,0.492234
23,6,0.531304
23,7,0.498247
23,8,0.455724
23,9,0.461561
23,10,0.460491
23,11,0.457084
23,12,0.438828
23,13,0.480132
23,14,0.450875
23,15,0.462972
24,1,0.475183
24,2,0.462961
24,3,0.496946
24,4,0.345076
24,5,0.454115
24,6,0.436097
24,7,0.485764
24,8,0.460258
24,9,0.460253
24,10,0.452033
24,11,0.497156
24,12,0.440699
24,13,0.465440
24,14,0.454871
24,15,0.430390
25,1,0.481201
25,2,0.411744
25,3,0.497013
25,4,0.491418
25,5,0.480839
25,6,0.431448
25,7,0.525142
25,8,0.527885
25,9,0.519187
25,10,0.514602
25,11,0.554968
25,12,0.532577
25,13,0.451162
25,14,0.459870
25,15,0.465977
26,1,0.531294
26,2,0.486128
26,3,0.525818
26,4,0.487804
26,5,0.446254
26,6,0.475771
26,7,0.535754
26,8,0.485861
26,9,0.491457
26,10,0.507283
26,11,0.447530
26,12,0.431041
26,13,0.466924
26,14,0.405085
26,15,0.481460
27,1,0.495545
27,2,0.547988
27,3,0.521623
27,4,0.461237
27,5,0.295442
27,6,0.488093
27,7,0.411744
27,8,0.502635
27,9,0.481129
27,10,0.554604
27,11,0.525196
27,12,0.461057
27,13,0.450200
27,14,0.481393
27,15,0.478251
28,1,0.434589
28,2,0.431107
28,3,0.455228
28,4,0.493356
28,5,0.453502
28,6,0.475834
28,7,0.467123
28,8,0.537878
28,9,0.485897
28,10,0.482945
28,11,0.497122
28,12,0.452709
28,13,0.472164
28,14,0.473319
28,15,0.470681
29,1,0.494256
29,2,0.442633
29,3,0.545720
29,4,0.527032
29,5,0.493791
29,6,0.434589
29,7,0.441624
29,8,0.438298
29,9,0.481991
29,10,0.462869
29,11,0.466254
29,12,0.466067
29,13,0.451917
29,14,0.466356
29,15,0.481602
30,1,0.521122
30,2,0.442770
30,3,0.466546
30,4,0.487534
30,5,0.437639
30,6,0.458289
30,7,0.472570
30,8,0.453038
30,9,0.493457
30,10,0.485816
30,11,0.475352
30,12,0.505791
30,13,0.501827
30,14,0.453542
30,15,0.411744
31,1,0.548001
31,2,0.503420
31,3,0.482965
31,4,0.456199
31,5,0.430537
31,6,0.495194
31,7,0.476657
31,8,0.455219
31,9,0.465238
31,10,0.473642
31,11,0.472206
31,12,0.490100
31,13,0.506151
31,14,0.454113
31,15,0.472990
32,1,0.475183
32,2,0.279891
32,3,0.462600
32,4,0.449629
32,5,0.467181
32,6,0.452206
32,7,0.476082
32,8,0.513458
32,9,0.504839
32,10,0.467469
32,11,0.489162
32,12,0.481797
32,13,0.496676
32,14,0.498026
