episode,step,reward
0,1,0.512167
0,2,0.496331
0,3,0.464872
0,4,0.445859
0,5,0.456105
0,6,0.451240
0,7,0.492671
0,8,0.486625
0,9,0.533443
0,10,0.499364
0,11,0.547988
0,12,0.486625
0,13,0.530367
0,14,0.442137
0,15,0.547988
1,1,0.533120
1,2,0.506124
1,3,0.457129
1,4,0.460914
1,5,0.492144
1,6,0.463019
1,7,0.481364
1,8,0.509558
1,9,0.462832
1,10,0.514692
1,11,0.509822
1,12,0.486087
1,13,0.549120
1,14,0.519345
1,15,0.532282
2,1,0.456126
2,2,0.447149
2,3,0.452108
2,4,0.464403
2,5,0.458675
2,6,0.485873
2,7,0.517390
2,8,0.481549
2,9,0.505240
2,10,0.469878
2,11,0.482930
2,12,0.502404
2,13,0.456084
2,14,0.444211
2,15,0.448084
3,1,0.437067
3,2,0.485546
3,3,0.488303
3,4,0.496343
3,5,0.471860
3,6,0.512103
3,7,0.435590
3,8,0.471453
3,9,0.482945
3,10,0.459358
3,11,0.491532
3,12,0.279891
3,13,0.476425
3,14,0.497711
3,15,0.470023
4,1,0.518322
4,2,0.491771
4,3,0.574110
4,4,0.544869
4,5,0.549866
4,6,0.552379
4,7,0.521243
4,8,0.525622
4,9,0.539167
4,10,0.491894
4,11,0.508800
4,12,0.501971
4,13,0.525553
4,14,0.576623
4,15,0.430471
5,1,0.432030
5,2,0.475659
5,3,0.463559
5,4,0.501691
5,5,0.487392
5,6,0.499683
5,7,0.501785
5,8,0.513241
5,9,0.463019
5,10,0.536450
5,11,0.533990
5,12,0.579640
5,13,0.510105
5,14,0.444483
5,15,0.528580
6,1,0.518965
6,2,0.520813
6,3,0.456861
6,4,0.497642
6,5,0.460789
6,6,0.447835
6,7,0.454160
6,8,0.480505
6,9,0.484608
6,10,0.233561
6,11,0.453426
6,12,0.457660
6,13,0.479252
6,14,0.490498
6,15,0.510723
7,1,0.451107
7,2,0.476067
7,3,0.460049
7,4,0.489544
7,5,0.492400
7,6,0.452428
7,7,0.501054
7,8,0.434589
7,9,0.504605
7,10,0.546623
7,11,0.467472
7,12,0.443722
7,13,0.452180
7,14,0.415796
7,15,0.460219
8,1,0.531079
8,2,0.530856
8,3,0.542322
8,4,0.514134
8,5,0.523517
8,6,0.534235
8,7,0.575766
8,8,0.529487
8,9,0.533920
8,10,0.434589
8,11,0.525200
8,12,0.574110
8,13,0.450800
8,14,0.508753
8,15,0.452166
9,1,0.457129
9,2,0.519457
9,3,0.549866
9,4,0.359293
9,5,0.477958
9,6,0.484081
9,7,0.461335
9,8,0.470246
9,9,0.461613
9,10,0.464647
9,11,0.491717
9,12,0.497059
9,13,0.493637
9,14,0.535608
9,15,0.507244
10,1,0.467064
10,2,0.429244
10,3,0.450570
10,4,0.454338
10,5,0.459038
10,6,0.502207
10,7,0.516609
10,8,0.520813
10,9,0.539018
10,10,0.478327
10,11,0.465872
10,12,0.453130
10,13,0.429192
10,14,0.469330
10,15,0.446763
11,1,0.493109
11,2,0.510381
11,3,0.369143
11,4,0.485099
11,5,0.448294
11,6,0.440817
11,7,0.450722
11,8,0.475109
11,9,0.463087
11,10,0.524190
11,11,0.488416
11,12,0.457561
11,13,0.513552
11,14,0.516111
11,15,0.511358
12,1,0.574110
12,2,0.476884
12,3,0.546623
12,4,0.451497
12,5,0.579136
12,6,0.513329
12,7,0.539966
12,8,0.535684
12,9,0.497733
12,10,0.533541
12,11,0.508274
12,12,0.557947
12,13,0.548909
12,14,0.555991
12,15,0.521778
13,1,0.464451
13,2,0.531294
13,3,0.521767
13,4,0.531057
13,5,0.465238
13,6,0.582009
13,7,0.552638
13,8,0.533703
13,9,0.520567
13,10,0.352267
13,11,0.473082
13,12,0.462779
13,13,0.483313
13,14,0.511278
13,15,0.506369
14,1,0.471671
14,2,0.487095
14,3,0.559623
14,4,0.510891
14,5,0.537488
14,6,0.448156
14,7,0.491966
14,8,0.541361
14,9,0.480720
14,10,0.443546
14,11,0.512420
14,12,0.457308
14,13,0.217795
14,14,0.454007
14,15,0.464845
15,1,0.466824
15,2,0.503855
15,3,0.456084
15,4,0.501076
15,5,0.453832
15,6,0.451942
15,7,0.506369
15,8,0.431378
15,9,0.460341
15,10,0.483348
15,11,0.455999
15,12,0.533703
15,13,0.489580
15,14,0.537903
15,15,0.314413
16,1,0.510413
16,2,0.464209
16,3,0.453914
16,4,0.437654
16,5,0.434848
16,6,0.440075
16,7,0.426354
16,8,0.576623
16,9,0.446731
16,10,0.451927
16,11,0.525746
16,12,0.513290
16,13,0.523915
16,14,0.515718
16,15,0.470014
17,1,0.436940
17,2,0.549036
17,3,0.492326
17,4,0.500261
17,5,0.574110
