request_id,request_type,contention_str,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency,message_size_kb,end_to_end_latency
0,p,p,0.004020,0.011400,0.018500,77.143555,33.920020,19.0,111.063575
1,p,p,0.004020,0.027850,0.018500,115.177979,50.370020,22.0,165.547999
2,s,s,0.023128,0.005150,0.020000,144.438721,48.278351,48.0,192.717072
3,s,s,0.023128,0.006050,0.020000,161.949219,49.178351,34.0,211.127570
4,s,ss,0.018821,0.005350,0.022000,180.578125,46.170769,64.0,226.748894
5,p,ps,0.004022,0.004800,0.018500,29.840576,27.321770,14.0,57.162346
6,d,d,0.002386,0.004900,0.021500,60.364990,28.786326,11.0,89.151316
7,p,p,0.004020,0.005150,0.018500,89.913818,27.670020,9.0,117.583838
8,s,s,0.023128,0.018350,0.022000,124.437012,63.478351,27.0,187.915363
9,s,s,0.023128,0.004200,0.020000,139.951416,47.328351,55.0,187.279767
10,s,ssd,0.018735,0.050300,0.019200,14.007812,88.234503,54.0,102.242315
11,s,ss,0.018821,0.007100,0.020000,32.897461,45.920769,28.0,78.818230
12,s,ss,0.018821,0.040750,0.022000,51.415527,81.570769,61.0,132.986296
13,s,sss,0.019288,0.084550,0.022000,65.724365,125.838093,46.0,191.562458
14,s,ssss,0.018888,0.044550,0.018500,79.295898,81.938175,62.0,161.234074
15,p,p,0.004020,0.080700,0.020000,30.087158,104.720020,5.0,134.807178
16,d,d,0.002386,0.003950,0.022000,52.604736,28.336326,12.0,80.941062
17,s,s,0.023128,0.014600,0.021500,69.114502,59.228351,31.0,128.342853
18,p,p,0.004020,0.005750,0.018500,106.592041,28.270020,15.0,134.862061
19,d,dp,0.002465,0.062800,0.018500,138.019531,83.764527,13.0,221.784059
20,s,s,0.023128,0.005850,0.020000,15.041748,48.978351,23.0,64.020099
21,d,ds,0.002343,0.003850,0.020000,33.278320,26.192696,24.0,59.471016
22,s,sds,0.018566,0.004450,0.022000,52.290771,45.016086,35.0,97.306858
23,p,ps,0.004022,0.005800,0.018500,84.322021,28.321770,9.0,112.643791
24,s,sp,0.018754,0.010550,0.021500,114.422607,50.803690,46.0,165.226298
25,s,ss,0.018821,0.007850,0.021500,11.510254,48.170769,35.0,59.681023
26,s,s,0.023128,0.005000,0.018500,29.835449,46.628351,49.0,76.463800
27,d,dss,0.002842,0.036100,0.022000,49.878418,60.941765,6.0,110.820183
28,p,p,0.004020,0.122000,0.019200,82.914795,145.220020,16.0,228.134815
29,p,pp,0.004022,0.057000,0.020000,118.951416,81.021770,13.0,199.973186
30,s,spp,0.018537,0.027900,0.020000,12.528320,66.437181,55.0,78.965501
31,s,sspp,0.017993,0.043150,0.022000,36.053955,83.143200,22.0,119.197155
32,s,s,0.023128,0.021000,0.018500,51.381836,62.628351,45.0,114.010187
33,p,pssp,0.004434,0.051400,0.022000,91.564453,77.834040,15.0,169.398493
34,d,d,0.002386,0.004750,0.021500,123.105225,28.636326,8.0,151.741551
35,p,p,0.004020,0.005000,0.020000,31.849854,29.020020,21.0,60.869874
36,d,d,0.002386,0.004750,0.018500,62.503174,25.636326,17.0,88.139500
37,p,p,0.004020,0.005000,0.018500,106.540771,27.520020,16.0,134.060791
38,d,dpp,0.002515,0.022500,0.020000,144.909668,45.014774,22.0,189.924442
39,s,s,0.023128,0.060200,0.018500,160.945068,101.828351,17.0,262.773419
40,d,d,0.002386,0.019100,0.018500,12.996582,39.986326,23.0,52.982908
41,p,pd,0.004022,0.013550,0.022000,49.552246,39.571770,8.0,89.124016
42,p,p,0.004020,0.004200,0.018500,93.321045,26.720020,13.0,120.041065
43,d,dp,0.002465,0.005200,0.021500,114.367432,29.164527,7.0,143.531959
44,d,dd,0.002426,0.004950,0.020000,142.661377,27.375904,10.0,170.037281
45,s,sd,0.018668,0.006000,0.020000,14.407471,44.667773,16.0,59.075244
46,s,ss,0.018821,0.004800,0.022000,33.749268,45.620769,58.0,79.370037
47,d,dss,0.002842,0.004550,0.022000,53.770264,29.391765,7.0,83.162029
48,d,ds,0.002343,0.011000,0.018500,75.113037,31.842696,4.0,106.955733
49,p,p,0.004020,0.006350,0.019200,104.741943,29.570020,15.0,134.311963
50,s,sp,0.018754,0.004000,0.019200,11.508301,41.953690,40.0,53.461991
51,p,psp,0.004022,0.014900,0.018500,51.484131,37.421770,4.0,88.905901
52,p,p,0.004020,0.005850,0.021500,94.057373,31.370020,14.0,125.427393
53,p,pp,0.004022,0.005550,0.018500,129.121826,28.071770,10.0,157.193596
54,p,p,0.004020,0.005000,0.018500,185.020752,27.520020,13.0,212.540772
55,p,p,0.004020,0.004400,0.021500,34.530518,29.920020,7.0,64.450538
56,d,dp,0.002465,0.045800,0.020000,65.567627,68.264527,11.0,133.832154
57,s,s,0.023128,0.007400,0.021500,88.852051,52.028351,20.0,140.880402
58,p,ps,0.004022,0.005100,0.018500,125.703369,27.621770,13.0,153.325139
59,p,p,0.004020,0.004550,0.019200,174.624756,27.770020,20.0,202.394776
60,d,d,0.002386,0.019500,0.019200,13.519531,41.086326,17.0,54.605857
61,s,s,0.023128,0.005400,0.018500,29.037354,47.028351,44.0,76.065705
62,d,dsd,0.002613,0.031550,0.022000,48.036377,56.162824,8.0,104.199201
63,d,ddsd,0.002653,0.087500,0.020000,61.549316,110.153355,14.0,171.702671
64,s,s,0.023128,0.004350,0.022000,82.070068,49.478351,29.0,131.548419
65,s,ss,0.018821,0.006050,0.019200,16.493652,44.070769,45.0,60.564421
66,s,sd,0.018668,0.035500,0.019200,47.312500,73.367773,37.0,120.680273
67,d,ds,0.002343,0.067450,0.021500,66.838867,91.292696,7.0,158.131563
68,d,d,0.002386,0.004050,0.022000,88.661865,28.436326,6.0,117.098191
69,p,p,0.004020,0.013500,0.020000,124.715088,37.520020,14.0,162.235108
70,s,sp,0.018754,0.004150,0.021500,10.514404,44.403690,51.0,54.918095
71,p,ps,0.004022,0.005600,0.022000,40.558838,31.621770,23.0,72.180608
72,d,d,0.002386,0.009450,0.021500,76.435303,33.336326,10.0,109.771629
