episode,step,reward
20,11,0.503025
20,12,0.493683
20,13,0.511945
20,14,0.498445
20,15,0.536433
21,1,0.473956
21,2,0.562031
21,3,0.531267
21,4,0.555735
21,5,0.515813
21,6,0.504924
21,7,0.524174
21,8,0.456180
21,9,0.503111
21,10,0.482723
21,11,0.497094
21,12,0.523915
21,13,0.317600
21,14,0.484499
21,15,0.493812
22,1,0.474816
22,2,0.525419
22,3,0.536961
22,4,0.476754
22,5,0.447080
22,6,0.485647
22,7,0.461451
22,8,0.230900
22,9,0.533882
22,10,0.486785
22,11,0.516035
22,12,0.553196
22,13,0.579136
22,14,0.471050
22,15,0.529648
23,1,0.529648
23,2,0.515425
23,3,0.489768
23,4,0.549805
23,5,0.442844
23,6,0.463293
23,7,0.463907
23,8,0.496331
23,9,0.380913
23,10,0.579701
23,11,0.459874
23,12,0.485581
23,13,0.471418
23,14,0.469271
23,15,0.468424
24,1,0.471671
24,2,0.451927
24,3,0.393469
24,4,0.217294
24,5,0.456211
24,6,0.457720
24,7,0.448373
24,8,0.463839
24,9,0.458199
24,10,0.447495
24,11,0.450920
24,12,0.472585
24,13,0.451175
24,14,0.422172
24,15,0.456411
25,1,0.489005
25,2,0.576623
25,3,0.529730
25,4,0.536464
25,5,0.550259
25,6,0.542761
25,7,0.528381
25,8,0.463273
25,9,0.543005
25,10,0.456760
25,11,0.499109
25,12,0.464786
25,13,0.500708
25,14,0.575457
25,15,0.490267
26,1,0.495545
26,2,0.547988
26,3,0.492966
26,4,0.481593
26,5,0.515364
26,6,0.447664
26,7,0.512943
26,8,0.437609
26,9,0.422172
26,10,0.451081
26,11,0.505529
26,12,0.502558
26,13,0.506124
26,14,0.531964
26,15,0.535596
27,1,0.456642
27,2,0.485829
27,3,0.442047
27,4,0.482697
27,5,0.489744
27,6,0.459097
27,7,0.454745
27,8,0.484655
27,9,0.454205
27,10,0.453469
27,11,0.466021
27,12,0.451321
27,13,0.484241
27,14,0.463174
27,15,0.492761
28,1,0.492131
28,2,0.492632
28,3,0.534323
28,4,0.484802
28,5,0.538702
28,6,0.497094
28,7,0.434589
28,8,0.539178
28,9,0.479866
28,10,0.510381
28,11,0.530367
28,12,0.461519
28,13,0.509697
28,14,0.549802
28,15,0.455326
29,1,0.478695
29,2,0.315997
29,3,0.470953
29,4,0.503031
29,5,0.457620
29,6,0.471228
29,7,0.450510
29,8,0.456439
29,9,0.441496
29,10,0.448138
29,11,0.450169
29,12,0.482815
29,13,0.491044
29,14,0.497284
29,15,0.574110
30,1,0.459310
30,2,0.494330
30,3,0.445859
30,4,0.484157
30,5,0.507686
30,6,0.503231
30,7,0.579136
30,8,0.539797
30,9,0.496160
30,10,0.461315
30,11,0.476730
30,12,0.498445
30,13,0.474799
30,14,0.468001
30,15,0.464434
31,1,0.463993
31,2,0.511077
31,3,0.305162
31,4,0.493604
31,5,0.473190
31,6,0.491360
31,7,0.467693
31,8,0.464547
31,9,0.452551
31,10,0.417547
31,11,0.532549
31,12,0.486033
31,13,0.500336
31,14,0.498445
31,15,0.459428
32,1,0.486746
32,2,0.426354
32,3,0.457525
32,4,0.485181
32,5,0.426527
32,6,0.525622
32,7,0.426354
32,8,0.534946
32,9,0.481123
32,10,0.532282
32,11,0.456706
32,12,0.000000
32,13,0.476442
32,14,0.467082
32,15,0.469600
33,1,0.486746
33,2,0.456151
33,3,0.506369
33,4,0.511077
33,5,0.484293
33,6,0.451974
33,7,0.497013
33,8,0.499338
33,9,0.512949
33,10,0.511002
33,11,0.497733
33,12,0.497549
33,13,0.520004
33,14,0.439612
33,15,0.369314
34,1,0.521122
34,2,0.470092
34,3,0.217795
34,4,0.479897
34,5,0.489014
34,6,0.499973
34,7,0.426354
34,8,0.526141
34,9,0.492358
34,10,0.543633
34,11,0.556584
34,12,0.463483
34,13,0.472215
34,14,0.455778
34,15,0.487900
35,1,0.548001
35,2,0.508753
35,3,0.479597
35,4,0.475983
35,5,0.574110
35,6,0.496676
35,7,0.513674
35,8,0.438214
