episode,step,reward
0,1,0.519457
0,2,0.522955
0,3,0.457129
0,4,0.532282
0,5,0.503226
0,6,0.492727
0,7,0.504849
0,8,0.458302
0,9,0.495709
0,10,0.462106
0,11,0.472725
0,12,0.481624
0,13,0.547988
0,14,0.507995
0,15,0.469820
1,1,0.434589
1,2,0.431107
1,3,0.466686
1,4,0.494579
1,5,0.500099
1,6,0.520469
1,7,0.495360
1,8,0.509714
1,9,0.467202
1,10,0.444725
1,11,0.519224
1,12,0.406025
1,13,0.453130
1,14,0.501971
1,15,0.534661
2,1,0.488479
2,2,0.474117
2,3,0.481540
2,4,0.469895
2,5,0.434589
2,6,0.473946
2,7,0.471197
2,8,0.468459
2,9,0.515568
2,10,0.494280
2,11,0.426354
2,12,0.481361
2,13,0.493384
2,14,0.458126
2,15,0.466357
3,1,0.484258
3,2,0.492649
3,3,0.508636
3,4,0.526655
3,5,0.494014
3,6,0.534279
3,7,0.550923
3,8,0.521012
3,9,0.567500
3,10,0.536932
3,11,0.533254
3,12,0.434589
3,13,0.448261
3,14,0.536469
3,15,0.472176
4,1,0.405085
4,2,0.415796
4,3,0.496375
4,4,0.510400
4,5,0.446734
4,6,0.432176
4,7,0.423946
4,8,0.443407
4,9,0.444727
4,10,0.474199
4,11,0.474115
4,12,0.510184
4,13,0.434589
4,14,0.534139
4,15,0.500791
5,1,0.486931
5,2,0.540841
5,3,0.533452
5,4,0.554968
5,5,0.506124
5,6,0.534876
5,7,0.513312
5,8,0.555161
5,9,0.535770
5,10,0.535007
5,11,0.453545
5,12,0.523138
5,13,0.461347
5,14,0.492228
5,15,0.455923
6,1,0.492725
6,2,0.464811
6,3,0.494427
6,4,0.486022
6,5,0.508305
6,6,0.525622
6,7,0.512220
6,8,0.508781
6,9,0.445339
6,10,0.534607
6,11,0.582009
6,12,0.514511
6,13,0.521974
6,14,0.451353
6,15,0.447478
7,1,0.480358
7,2,0.488608
7,3,0.456326
7,4,0.468237
7,5,0.442218
7,6,0.431877
7,7,0.448743
7,8,0.448685
7,9,0.467349
7,10,0.454126
7,11,0.495468
7,12,0.431741
7,13,0.436526
7,14,0.499149
7,15,0.507867
8,1,0.457329
8,2,0.439349
8,3,0.460251
8,4,0.454882
8,5,0.477774
8,6,0.462461
8,7,0.510701
8,8,0.472321
8,9,0.496185
8,10,0.475249
8,11,0.518306
8,12,0.576567
8,13,0.517932
8,14,0.460180
8,15,0.462408
9,1,0.515290
9,2,0.507405
9,3,0.528269
9,4,0.508248
9,5,0.455921
9,6,0.473498
9,7,0.495006
9,8,0.478265
9,9,0.462711
9,10,0.453748
9,11,0.462985
9,12,0.485165
9,13,0.497148
9,14,0.464261
9,15,0.439060
10,1,0.434589
10,2,0.464166
10,3,0.480065
10,4,0.536082
10,5,0.528405
10,6,0.509697
10,7,0.528952
10,8,0.462464
10,9,0.457757
10,10,0.463127
10,11,0.483470
10,12,0.468839
10,13,0.481526
10,14,0.429353
10,15,0.460883
11,1,0.474816
11,2,0.217795
11,3,0.472953
11,4,0.464853
11,5,0.453368
11,6,0.485318
11,7,0.450509
11,8,0.526324
11,9,0.447531
11,10,0.456290
11,11,0.500983
11,12,0.443664
11,13,0.488563
11,14,0.449346
11,15,0.463816
12,1,0.464451
12,2,0.534946
12,3,0.526538
12,4,0.515503
12,5,0.506123
12,6,0.476640
12,7,0.525622
12,8,0.445859
12,9,0.426354
12,10,0.432399
12,11,0.320533
12,12,0.446466
12,13,0.453959
12,14,0.445864
12,15,0.440881
13,1,0.504507
13,2,0.494715
13,3,0.374937
13,4,0.447246
13,5,0.423308
13,6,0.507642
13,7,0.499876
13,8,0.473636
13,9,0.462561
13,10,0.454203
13,11,0.452104
13,12,0.470970
13,13,0.491463
13,14,0.536466
13,15,0.453519
14,1,0.512167
14,2,0.465280
14,3,0.466635
14,4,0.480451
14,5,0.503096
14,6,0.491147
14,7,0.452437
14,8,0.461848
14,9,0.471514
14,10,0.426354
14,11,0.490511
14,12,0.487543
14,13,0.516267
14,14,0.537012
14,15,0.523135
15,1,0.492966
15,2,0.548001
15,3,0.445411
15,4,0.405725
15,5,0.482714
15,6,0.510869
15,7,0.509977
15,8,0.506124
15,9,0.506583
15,10,0.426354
15,11,0.453403
15,12,0.482216
15,13,0.459911
15,14,0.433041
15,15,0.464966
16,1,0.434589
16,2,0.492710
16,3,0.480209
16,4,0.456563
16,5,0.478630
16,6,0.444870
16,7,0.498822
16,8,0.455685
16,9,0.449377
16,10,0.467657
16,11,0.493874
16,12,0.478389
16,13,0.457158
16,14,0.480840
16,15,0.532282
17,1,0.531294
17,2,0.463308
17,3,0.486128
17,4,0.479154
17,5,0.497521
17,6,0.462246
17,7,0.442433
17,8,0.476100
17,9,0.463846
17,10,0.493638
17,11,0.461853
17,12,0.494244
17,13,0.522493
17,14,0.493116
17,15,0.450736
18,1,0.436940
18,2,0.513993
18,3,0.458100
18,4,0.500391
18,5,0.469262
18,6,0.483483
18,7,0.434589
18,8,0.432268
18,9,0.445973
18,10,0.449801
18,11,0.505323
18,12,0.500676
18,13,0.493229
18,14,0.525622
18,15,0.286981
19,1,0.504507
19,2,0.482253
19,3,0.506369
19,4,0.426527
19,5,0.454335
19,6,0.501971
19,7,0.496008
19,8,0.499514
19,9,0.484111
19,10,0.451406
19,11,0.496472
19,12,0.462378
19,13,0.536308
19,14,0.517210
19,15,0.453912
20,1,0.486746
20,2,0.532255
20,3,0.555735
20,4,0.434589
20,5,0.432959
20,6,0.480756
20,7,0.415796
20,8,0.405085
20,9,0.448318
20,10,0.492209
20,11,0.434589
20,12,0.506369
20,13,0.472410
20,14,0.510705
20,15,0.459739
21,1,0.479353
21,2,0.474413
21,3,0.250417
21,4,0.464961
21,5,0.434848
21,6,0.442969
21,7,0.492445
21,8,0.498768
21,9,0.483156
21,10,0.464844
21,11,0.457006
21,12,0.435141
21,13,0.464350
21,14,0.463053
21,15,0.454839
22,1,0.534946
22,2,0.521093
22,3,0.485489
22,4,0.351969
22,5,0.480995
22,6,0.479423
22,7,0.476600
22,8,0.476358
22,9,0.462663
22,10,0.520613
22,11,0.496470
22,12,0.453176
22,13,0.446665
22,14,0.479866
22,15,0.532282
23,1,0.488479
23,2,0.512390
23,3,0.490375
23,4,0.539056
23,5,0.460281
23,6,0.520665
23,7,0.497618
23,8,0.525622
23,9,0.502064
23,10,0.519157
23,11,0.523970
23,12,0.517988
23,13,0.442796
23,14,0.430537
23,15,0.478025
24,1,0.488479
24,2,0.434589
24,3,0.491204
24,4,0.547988
24,5,0.532282
24,6,0.525110
24,7,0.450098
24,8,0.434826
24,9,0.503023
24,10,0.461575
24,11,0.426354
24,12,0.453680
24,13,0.411744
24,14,0.450033
24,15,0.426297
25,1,0.547988
25,2,0.499956
25,3,0.533703
25,4,0.507114
25,5,0.509453
25,6,0.537012
25,7,0.533703
25,8,0.497922
25,9,0.562031
25,10,0.492487
25,11,0.426354
25,12,0.530378
25,13,0.501435
25,14,0.504977
25,15,0.524327
26,1,0.456475
26,2,0.522257
26,3,0.247578
26,4,0.547988
26,5,0.467699
26,6,0.411744
26,7,0.460845
26,8,0.464090
26,9,0.506392
26,10,0.506960
26,11,0.500015
26,12,0.485789
26,13,0.524647
26,14,0.532512
26,15,0.521603
27,1,0.469548
27,2,0.453661
27,3,0.466152
27,4,0.465317
27,5,0.495069
27,6,0.455935
27,7,0.485462
27,8,0.467136
27,9,0.515996
27,10,0.473103
27,11,0.433770
27,12,0.482220
27,13,0.481512
27,14,0.459964
27,15,0.492062
28,1,0.486746
28,2,0.474250
28,3,0.485775
28,4,0.438329
28,5,0.462410
28,6,0.472151
28,7,0.502075
28,8,0.499229
28,9,0.464045
28,10,0.453896
28,11,0.448481
28,12,0.408884
28,13,0.487641
28,14,0.426345
28,15,0.466286
29,1,0.434589
29,2,0.473956
29,3,0.497737
29,4,0.501399
29,5,0.472306
29,6,0.454063
29,7,0.441965
29,8,0.439871
29,9,0.462703
29,10,0.466929
29,11,0.451013
29,12,0.490601
